TERM,COLL,CRN,DEPT,SAPR,XLST,PTRM,Subj_Crsnumb,CRSE_TITLE,SEQ_NUMB,SCHD,INSM_CODE,CRSE_DELVRY,CAMP,SESS,CREDIT_HR_LOW,CREDIT_HR_HIGH,CREDIT_HRS,SEST,SES#,DAYS,START TIME,END TIME,SCHD,LOC,INSTRUCTOR,FCST_CODE,ENROLL,MAX_ENRL,XLST_ENRL,XLST_MAX_ENRL,CRSE_STATUS,COMMENTS,FEES,DETAIL CODE,SEC,SSBSECT_VOICE_AVAIL,WL_LIMIT,WL_ENRL,RSRV_IND,RESV_LIMIT,RESV_ENRL,NRESV_LIMIT,NRESV_ENRL,RESV_LIST
202505,PC,51722,12,,,7,MATH 0999,SUPPORT FOR COLLEGE ALGEBRA,16,A,E,O,PF,B,2,,,A,1,TBA,TBA,,A,ONLINE ,"01 Lovelace, Ada",FT,24,24,,,20,"You must also register for Math 1111 CRN: 53358. This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.Â ",,,A,Y,0,0,,,,,,
202505,PC,53481,12,,,7,MATH 0999,SUPPORT FOR COLLEGE ALGEBRA,20,A,E,O,PF,B,2,,,A,1,TBA,TBA,,A,ONLINE ,"01 Lovelace, Ada",FT,24,24,,,22,"You must also register for Math 1111 CRN: 53482. This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.",,,A,Y,0,0,,,,,,
202505,PC,53358,12,,,7,MATH 1111,COLLEGE ALGEBRA,30,A,E,O,PF,B,3,,,A,1,TBA,TBA,,A,ONLINE ,"01 Lovelace, Ada",FT,24,24,,,20,"You must also register for Math 0999 CRN: 51722. This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.Â ",,,A,Y,0,0,,,,,,
202505,PC,53482,12,,,7,MATH 1111,COLLEGE ALGEBRA,36,A,E,O,PF,B,3,,,A,1,TBA,TBA,,A,ONLINE ,"01 Lovelace, Ada",FT,24,24,,,22,"You must also register for Math 0999 CRN: 53481. This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.",,,A,Y,0,0,,,,,,
202505,PC,54657,12,,,7,MATH 1001,QUANTITATIVE REASONING,16,A,E,O,PF,B,3,,,A,1,TBA,TBA,,A,ONLINE ,"01 White, Walter",FT,17,24,,,0,"This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.",,,A,Y,0,0,,,,,,
202505,PC,54656,12,,,7,MATH 1001,QUANTITATIVE REASONING,18,A,E,O,PF,B,3,,,A,1,TBA,TBA,,A,ONLINE ,"01 White, Walter",FT,11,24,,,0,"This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.",,,A,Y,0,0,,,,,,
202505,PC,51737,12,,,7,MATH 1111,COLLEGE ALGEBRA,24,A,E,O,PF,B,3,,,A,1,TBA,TBA,,A,ONLINE ,"01 Doom, Victor",FT,24,24,,,0,"This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.Â ",,,A,Y,0,0,,,,,,
202505,PC,54698,12,,,7,MATH 1111,COLLEGE ALGEBRA,38,A,E,O,PF,B,3,,,A,1,TBA,TBA,,A,ONLINE ,"01 Doom, Victor",FT,8,24,,,0,"This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.",,,A,Y,0,0,,,,,,
202505,PC,51752,12,,,7,MATH 2008,FOUND NUMBERS & OPERATIONS,2,A,E,O,PF,B,3,,,A,1,TBA,TBA,,A,ONLINE ,"01 Doom, Victor",FT,15,30,,,0,"This section is an online class. To begin your class, log in to icollege.gsu.edu on the first day of classes, locate your course, and complete the Class Passport. Students must use an installed lockdown browser and a webcam to complete the final exam and other exams at the instructor's discretion. You must have access to a web camera, a microphone, and a device that works with the lockdown browser. The lockdown browser does not work with Chromebooks. It will be necessary to install special software on your computer.Â ",,,A,Y,0,0,,,,,,
202505,PC,54919,12,,,7,MATH 0997,SUPPORT FOR QUANT REASONING,32,A,T,F,PS,A,1,,,A,1,TR,1000,1055,A,SH 1500,"01 Banner, Bruce",PT,13,24,,,0,"This is a co-requisite class, therefore it must be taken together with the MATH 1001 course (CRN 54920).",,,A,Y,0,0,,,,,,
